 Number XWIN YWIN XWORLD YWORLD MAG MAGERROR FLUX FLUXERROR FLUXRADIUS FWHM BACKGROUND RA DEC BMAG GMAG RMAG BmG BmR GmR
13 18 27.068 8.1821 309.63124381 72.910112359 -6.612 1.556 441.385 632.4023 0.627 3.1 355.1672 309.6312438 72.9101124 12.032390594482422 11.674184799194336 11.159998893737793 0.35820579528808594 0.8723917007446289 0.514185905456543
14 19 467.1317 8.8361 316.64421571 60.573233586 -7.2141 0.889 768.4711 629.0651 1.192 2.54 343.3511 316.64421569999996 60.5732336 9.17778491973877 8.896156311035156 8.49256706237793 0.2816286087036133 0.6852178573608398 0.40358924865722656
15 21 428.1757 8.0036 316.24495093 61.688729894 -4.8364 7.9849 86.01045 632.4023 0.516 3.71 344.6011 316.24495089999994 61.6887299 8.451562881469727 7.8914642333984375 7.227867126464844 0.5600986480712891 1.2236957550048828 0.6635971069335938
16 22 379.3396 7.6768 315.74115623 63.006106562 -7.464 0.6833 967.3937 608.6575 3.05 1.51 349.2828 315.7411562 63.0061066 11.167952537536621 10.057944297790527 9.04978084564209 1.1100082397460938 2.1181716918945312 1.0081634521484375
17 23 144.7178 6.9731 312.13347996 69.664590033 -8.5337 0.2651 2590.958 632.4023 1.199 2.37 371.7977 312.13347999999996 69.66459 7.49000883102417 7.407942771911621 7.306019306182861 0.08206605911254883 0.1839895248413086 0.10192346572875977
18 24 405.3008 6.0524 315.88035669 62.328637888 -7.7574 0.6459 1267.538 753.8736 1.714 7.11 348.2362 315.8803567 62.3286379 8.86272144317627 8.543444633483887 8.101052284240723 0.3192768096923828 0.7616691589355469 0.44239234924316406
19 25 408.9785 3.9936 315.766783 62.206141171999995 -5.8841 2.8776 225.7544 598.1927 0.315 1.64 347.0143 315.76678300000003 62.2061412 8.86272144317627 8.543444633483887 8.101052284240723 0.3192768096923828 0.7616691589355469 0.44239234924316406
20 26 357.2007 7.3629 315.38452196 63.68442694 -8.1551 0.3776 1828.1960000000001 635.722 0.995 1.86 353.67900000000003 315.384522 63.6844269 8.430651664733887 7.784004211425781 7.054352760314941 0.6466474533081055 1.3762989044189453 0.7296514511108398
21 29 491.8311 6.358 316.74162842 59.88525421600001 -7.662 0.5947 1160.96 635.722 0.7140000000000001 2.08 353.4923 316.7416284 59.8852542 7.765328884124756 7.714138984680176 7.659194469451904 0.05118989944458008 0.10613441467285156 0.054944515228271484
22 30 471.0292 6.9974 316.58515748 60.459390522 -5.5005 4.3312 158.5664 632.4023 0.381 0.96 343.999 316.58515750000004 60.459390500000005 9.17778491973877 8.896156311035156 8.49256706237793 0.2816286087036133 0.6852178573608398 0.40358924865722656
23 34 287.8496 -24.8989 314.49561103 65.524021526 -8.1746 0.369 1861.392 632.4023 4.566 0.96 363.3888 314.495611 65.5240215 9.881888389587402 9.114873886108398 8.29472827911377 0.7670145034790039 1.5871601104736328 0.8201456069946289
